동,위도,경도,인구,유동
가락동,37.494853138611106,127.11536860633335,4953,20440
가리봉동,37.48305485555001,126.8878568823,1318,75069
가산동,37.47771390989474,126.88227994897369,1100,93762
가양동,37.56643179035555,126.84277664515555,3533,19878
가회동,37.58248951653333,126.98488081780003,1874,74817
갈월동,37.545081952,126.97260780756251,4154,65862
갈현동,37.62343520324137,126.91345332324137,1270,57817
강일동,37.56742706939024,127.17347466326828,2230,26457
개봉동,37.49543900612048,126.84974149803621,3074,13710
개포동,37.4819144687547,127.06820881659438,1878,73939
개화동,37.58581070586958,126.80214117186958,2502,93937
거여동,37.4887264641,127.14507707230003,1026,26261
견지동,37.57397199489999,126.98306606299998,3503,61598
경운동,37.5753013969,126.9866856809,4753,97442
계동,37.58269111461905,126.98688917847619,1988,73657
고덕동,37.56446845708572,127.1571808503714,1884,84422
고척동,37.50310537415094,126.85917388050946,4824,53537
공덕동,37.54871847696551,126.95621469334479,3688,96122
공릉동,37.630470367435905,127.09206527782051,4793,66434
공평동,37.57144626262499,126.98335546300001,1988,62548
공항동,37.55573325082609,126.8110852795,3702,37712
과해동,37.56433550632559,126.78679326374419,2685,59100
관수동,37.56916699371428,126.99069858685716,3634,23554
관철동,37.569157902166666,126.986062233,2903,65405
관훈동,37.57415932,126.98493487353845,2800,86421
광장동,37.551210965874986,127.10458350453125,1411,53621
광희동1가,37.565137754181826,127.00524525818186,1719,66806
광희동2가,37.563942307125004,127.00819614900001,2232,33339
교남동,37.56873923642856,126.96440666528572,3311,74299
교북동,37.571511355999995,126.96139880049999,4106,82523
구기동,37.618957925483876,126.96050418740327,2879,65391
구로동,37.49308148915714,126.88159494272854,4701,94563
구산동,37.61152392582142,126.90683941321431,3345,57149
구수동,37.54558203833334,126.93266037658337,1952,67935
구의동,37.54627928861224,127.09329997755101,1689,53460
군자동,37.551071874,127.07400880990907,2207,88267
궁동,37.50115040645162,126.82776864006455,1237,15553
궁정동,37.584912939636354,126.97281473609088,2312,93695
권농동,37.57605588,126.99185471972727,2734,52753
금호동1가,37.55347275485714,127.02182928182857,2268,13448
금호동2가,37.55202277645001,127.02195832414998,3151,23477
금호동3가,37.549895326058824,127.01929870576471,3104,32023
금호동4가,37.54555609787499,127.023796000875,4391,39074
길동,37.54106544510344,127.14862708713792,2413,42206
길음동,37.60907437746875,127.02179644203125,3823,26173
낙원동,37.57257398225,126.98860341658332,4161,79449
남가좌동,37.577103412741934,126.91962086251613,2110,94779
남대문로1가,37.567556097375,126.98296837337502,2268,97681
남대문로2가,37.56392707166667,126.9821527217778,4578,73576
남대문로3가,37.561549504000006,126.9795541425,2826,47959
남대문로4가,37.56062988118182,126.97568803590912,4526,25196
남대문로5가,37.55577447257895,126.97621152242104,4478,94682
남산동1가,37.55918245966667,126.98464919077777,2473,52649
남산동2가,37.558256808100005,126.9856773685,1771,78459
남산동3가,37.560119699499985,126.98781409099998,2342,11644
남영동,37.54237733619999,126.97337296780002,1716,71472
남창동,37.5579471315,126.97797935678571,2844,90547
남학동,37.56080385083333,126.99096719616666,4042,34354
남현동,37.4624318421875,126.9761787889375,4759,17308
내곡동,37.460660252610616,127.07364566147794,1651,26647
내발산동,37.55309773207142,126.83322688835717,2866,96763
