행정구,법정동,업종,이름,병상수,도로명전체주소
서대문구,북아현1동,병원,의료법인 현창의료재단 서서울병원,91,서울특별시 서대문구 신촌로37길 10 (북아현동)
중구,묵정동,병원,의료법인 제일의료재단 제일병원,203,서울특별시 중구 서애로1길 17 (묵정동)
중구,을지로3가,병원,을지치과병원,0,서울특별시 중구 을지로14길 12 (을지로3가)
강남구,논현동,병원,강남을지대학교병원,30,"서울특별시 강남구 도산대로 202 (논현동, 강남을지병원)"
영등포구,여의도동,병원,다통한병원,31,"서울특별시 영등포구 의사당대로 97, 2층,4층 (여의도동, 교보증권빌딩)"
중랑구,면목동,병원,의료법인 서울기독병원,450,서울특별시 중랑구 사가정로49길 53 (면목동)
중랑구,면목동,병원,기운찬병원,53,서울특별시 중랑구 동일로 606 (면목동)
중랑구,신내1동,병원,서울신내요양병원,58,서울특별시 중랑구 용마산로 622 (신내동)
영등포구,여의도동,병원,유디치과병원,0,"서울특별시 영등포구 국제금융로6길 26, 3층 (여의도동, 한국노총)"
영등포구,영등포동6가,병원,영등포안세병원,31,"서울특별시 영등포구 영중로 59 (영등포동6가, 안세빌딩)"
중랑구,망우본동,병원,행복한병원,213,"서울특별시 중랑구 망우로 403, 5,6,7층 (망우동)"
영등포구,영등포본동,병원,서울대윤병원,130,서울특별시 영등포구 영등포로 358 (신길동)
영등포구,영등포동6가,병원,안세병원,66,서울특별시 영등포구 영중로 59 (영등포동6가)
영등포구,대림동,병원,서울복지병원,143,서울특별시 영등포구 도림로 144 (대림동)
영등포구,양평동1가,병원,서울으뜸병원,60,"서울특별시 영등포구 영등포로 59, 2-4층 (양평동1가, 엠에스빌딩)"
영등포구,대림3동,병원,강남아산병원,61,서울특별시 영등포구 도신로 218 (도림동)
영등포구,영등포동4가,병원,의료법인 덕수의료재단 영등포한방병원,30,서울특별시 영등포구 영신로34길 5 (영등포동4가)
은평구,응암동,병원,재)마리아수녀회 도티기념병원,79,서울특별시 은평구 백련산로14길 20-11 (응암동)
은평구,역촌동,병원,참사랑병원,82,"서울특별시 은평구 연서로 10 (역촌동, 참사랑병원)"
은평구,역촌동,병원,참조은치과병원,0,서울특별시 은평구 연서로 73 (역촌동)
은평구,갈현동,병원,성가치과병원,0,"서울특별시 은평구 서오릉로 166 (갈현동, 5층)"
