행정구,법정동,업종,이름,도로명주소,,
중랑구,신내동,노인의료복지시설,서울꽃동네신내노인요양원,서울특별시 중랑구 신내로 194 ,,
종로구,구기동,노인의료복지시설,청운노인요양원,서울특별시 종로구 비봉길 76 (구기동),,
강서구,화곡동,노인의료복지시설,천사노인요양원,서울특별시 강서구 강서로45다길 30-22,,
금천구,시흥동,노인의료복지시설,노인요양센터 인영실버,서울특별시 금천구 금하로 596-0 ,,
관악구,봉천동,노인의료복지시설,동명노인복지센타,서울특별시 관악구 봉천로23라길 15(봉천동),,
노원구,상계동,노인의료복지시설,영기노인요양원,서울특별시 노원구 동일로248길 30 (상계동),,
동대문구,장안동,노인의료복지시설,은천노인요양센터,서울특별시 동대문구 장한로27가길 66 (장안동),,
동작구,본동,노인의료복지시설,동작실버센터,서울특별시 동작구 노량진로32길 53 (본동),,
서초구,서초동,노인의료복지시설,구립서초노인요양센터,서울특별시 서초구 남부순환로340길 21 (서초동 380-4),,
서초구,서초동,노인의료복지시설,구립서초노인요양센터,서울특별시 서초구 남부순환로340길21,,
용산구,산천동,노인의료복지시설,사랑의집,서울특별시 용산구 효창원로15길 24(산천동),,
동작구,상도동,노인의료복지시설,청운노인복지센터,서울특별시 동작구 국사봉1길 145(상도동),,
양천구,목동,노인의료복지시설,두엄자리,서울특별시 양천구 목동중앙남로16다길 6-13 (목동),,
종로구,청운동,노인의료복지시설,청운실버센터,서울특별시 종로구 자하문로28길 29 (청운동),,
노원구,중계동,노인의료복지시설,시립중계노인전문요양원,서울특별시 노원구 섬밭로 313 (중계동),,
마포구,성산동,노인의료복지시설,시립서부노인전문요양센터,서울특별시 마포구 월드컵로36길 15 (성산동),,
서대문구,합동,노인의료복지시설,중앙소규모요양시설,서울특별시 서대문구 서소문로 43-49 (합동),,
금천구,독산동,노인의료복지시설,남부실버요양원,서울특별시 금천구 범안로12가길 59,,
양천구,신정동,노인의료복지시설,어르신이행복한세상요양센터01호,서울특별시 양천구 신월로 338원빌딩 2층,,
동대문구,장안동,노인의료복지시설,한사랑실버케어요양원,서울특별시 동대문구 장한로28길 56 (장안동),,
은평구,녹번동,노인의료복지시설,자비의집,서울특별시 은평구 서오릉로 30-17(녹번동),,
노원구,하계동,노인의료복지시설,구립하계실버센터,서울특별시 노원구 한글비석로 4 (하계동),,
동작구,신대방동,노인의료복지시설,정성요양원,서울특별시 동작구 보라매로 89-0거성빌딩 6층,,
서대문구,충정로3가,노인의료복지시설,효림노인요양센터,서울특별시 서대문구 경기대로9길 62 (충정로3가),,
