행정구,법정동,업종,이름,도로명전체주소,lat,lng
은평구,구산동,보건소,구산보건지소,서울특별시 은평구 연서로13길 29-7 (구산동),37.6097371057154,126.912784497801
은평구,응암동,보건소,응암보건지소,서울특별시 은평구 가좌로 195 (응암동),37.5880345830345,126.919508418307
양천구,신정동,보건소,양천구보건소,서울특별시 양천구 목동서로 339 (신정동),37.5177061613231,126.865739424322
동작구,상도동,보건소,서울특별시동작구보건소,서울특별시 동작구 장승배기로10길 42 (상도동),37.5044455276,126.941088352368
동대문구,용두동,보건소,동대문구보건소,서울특별시 동대문구 천호대로 145 (용두동),37.5743917161622,127.039896580148
노원구,상계6.7동,보건소,노원구보건소,서울특별시 노원구 노해로 437 (상계동),37.6545190418039,127.056297212439
노원구,월계3동,보건소,노원구보건지소,서울특별시 노원구 월계로 378 (월계동),37.6314500319871,127.061591110372
관악구,봉천동,보건소,관악구보건소,서울특별시 관악구 관악로 145 (봉천동),37.4782106746327,126.951501244173
도봉구,쌍문2동,보건소,도봉구보건소,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소)",37.6579417974872,127.038831643968
마포구,성산동,보건소,마포구보건소,"서울특별시 마포구 월드컵로 212 (성산동, 마포구보건소)",37.5663128370109,126.901615668932
강남구,삼성동,보건소,강남구보건소,서울특별시 강남구 선릉로 668 (삼성동),37.5163196785267,127.042314793327
강동구,성내동,보건소,강동구보건소,서울특별시 강동구 성내로 45 (성내동),37.5295419850552,127.125585505976
성동구,홍익동,보건소,서울특별시성동구보건소,서울특별시 성동구 마장로23길 10 (홍익동),37.5670800463862,127.033214300908
송파구,신천동,보건소,서울특별시송파구보건소,서울특별시 송파구 올림픽로 326 (신천동),37.514477182474,127.105859984389
서대문구,북가좌1동,보건소,서대문구가좌보건지소,서울특별시 서대문구 수색로 100-55 (북가좌동),37.5743026681567,126.910190726399
성북구,월곡2동,보건소,성북구보건소,서울특별시 성북구 화랑로 63 (하월곡동),37.6027106641054,127.03953334738
서초구,서초동,보건소,서초구보건소,서울특별시 서초구 남부순환로 2584 (서초동),37.4836248649455,127.032683002019
용산구,이태원동,보건소,용산구보건소,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운)",37.5324522944579,126.990478820837
종로구,옥인동,보건소,종로구보건소,서울특별시 종로구 자하문로19길 36 (옥인동),37.5818305315454,126.969225799403
